D102 | TOLUENE SEPARATION,,,,,,,,,,
,,,,,,,,,,
Varying Temperature | R Fixed,,,,,,Varying Reflux Ratio (R) | T = 142 °C,,,,
Temp (°C),Tol Flow (kmol/hr),Tol Composition,Tol Amount (kmol/hr),Unit,,R,Tol Flow (kmol/hr),Tol Composition,Tol Amount (kmol/hr),Unit
130,10.74,0.3433,3.68704,kmol/hr,,1.5,280.80,0.5093,143.01144,kmol/hr
132,41.29,0.3438,14.19550,kmol/hr,,1.6,274.80,0.5181,142.37388,kmol/hr
134,68.97,0.3478,23.98777,kmol/hr,,1.7,269.50,0.5264,141.86480,kmol/hr
136,96.44,0.5799,55.92556,kmol/hr,,1.8,264.60,0.5344,141.40224,kmol/hr
138,131.80,0.4313,56.84534,kmol/hr,,1.9,260.10,0.5419,140.94819,kmol/hr
140,183.70,0.5253,96.49761,kmol/hr,,2.0,256.00,0.5490,140.54400,kmol/hr
142,240.10,0.5784,138.87384,kmol/hr,,2.1,252.30,0.5557,140.20311,kmol/hr
144,309.80,0.5677,175.87346,kmol/hr,,2.2,248.80,0.5620,139.82560,kmol/hr
,,,,,,2.3,245.70,0.5679,139.53303,kmol/hr
,,,,,,2.4,242.90,0.5734,139.27886,kmol/hr
,,,,,,2.5,240.10,0.5784,138.87384,kmol/hr
